trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-194.68056328242767,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-75.10641473949465,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-122.02527353235455,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-61.07679614492106,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-43.02675836451647,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,8,-54.67117797016198,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,6,-101.41829971380314,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-102.92511967083425,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-80.18969955954319,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-128.93949956766622,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-180.04079856665774,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-126.34233089299599,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-105.01639451126212,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-214.0917062582413,"{0: 15, 1: 7, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-130.31738138274605,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-40.09422375658747,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-113.82156580807211,"{0: 16, 1: 8, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-98.01621934023113,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-103.9572922053616,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-90.72062651045397,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-135.18144741139355,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-99.86399368240832,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-91.98188545679365,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-79.19431329567857,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-117.05075836530685,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-148.0503454039031,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-99.09608576032798,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-91.16917063893933,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-153.61754584254442,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,10,-21.4142273317269,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-190.2614026437016,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-65.42870025921206,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,14,10.460099805717624,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-130.24311962193886,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,3,-155.50466184429627,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 2}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-62.76810417212872,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-82.62651792877126,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,12,1.58253902839823,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-28.32458827172922,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-152.0936023964305,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-131.8997886623552,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-95.31711179737476,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-121.12863146207079,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-39.3569624458964,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-75.49516493205016,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-164.14510937571632,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-65.88105428031827,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
