trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.99871179885072,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.75039481798336,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.62089260150714,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.44839621153747,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.2375330476239,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.44993616330848,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,6,-25.246967668150127,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-34.17782304747289,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.02820054388062,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.57396256345282,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.63401883966754,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.98629096976795,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.75054029336343,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,12,0.675647751632455,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.55146385384381,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.179419788004841,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.84868265812652,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.066330446810532,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.50379928584024,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.78862649214479,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.3277066385901,"{0: 8, 1: 7, 2: 1, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.80647545899475,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,10,-25.451477189589063,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.33732675953383,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.70176684518474,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.14469745960938,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.59743375407685,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.99766606542053,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.29176456422894,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.14721838600795,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
